Id,Id2,Geography,Households; Estimate; Total,Households; Margin of Error; Total,Families; Estimate; Total,Families; Margin of Error; Total,Married-couple families; Estimate; Total,Married-couple families; Margin of Error; Total,Nonfamily households; Estimate; Total,Nonfamily households; Margin of Error; Total,Households; Estimate; Median income (dollars),Households; Margin of Error; Median income (dollars),Families; Estimate; Median income (dollars),Families; Margin of Error; Median income (dollars),Married-couple families; Estimate; Median income (dollars),Married-couple families; Margin of Error; Median income (dollars),Nonfamily households; Estimate; Median income (dollars),Nonfamily households; Margin of Error; Median income (dollars),Households; Estimate; Mean income (dollars),Households; Margin of Error; Mean income (dollars),Families; Estimate; Mean income (dollars),Families; Margin of Error; Mean income (dollars),Married-couple families; Estimate; Mean income (dollars),Married-couple families; Margin of Error; Mean income (dollars),Nonfamily households; Estimate; Mean income (dollars),Nonfamily households; Margin of Error; Mean income (dollars),Households; Estimate; PERCENT ALLOCATED - Household income in the past 12 months
310M300US16540,16540,"Chambersburg-Waynesboro, PA ",60492,1081,41130,1882,33775,1657,19362,1689,60559,4205,71873,3797,77735,4452,34452,5153,77464,6982,90676,8928,N,N,44957,5571,29.1
310M300US16580,16580,"Champaign-Urbana, IL ",94941,2613,52314,2410,38322,1996,42627,2486,50564,2362,74824,3459,91713,3710,30329,2378,70226,3375,93321,4938,N,N,40394,3637,32.1
310M300US16620,16620,"Charleston, WV ",91529,2190,55591,2524,40397,2312,35938,2531,41689,3122,59774,2563,71310,4736,22341,2341,61337,4147,76614,5337,90754,7275,36507,4379,29.1
310M300US16660,16660,"Charleston-Mattoon, IL ",25989,1038,14855,1179,N,N,11134,1201,40329,3042,59832,5815,71799,5495,23411,3925,54842,4140,70015,6470,N,N,31308,4058,31.4
310M300US16700,16700,"Charleston-North Charleston, SC ",287362,3659,175868,4727,129910,4017,111494,4913,57659,1763,73249,3053,89315,2912,36294,1344,80323,2831,99813,4134,116733,5437,47395,2316,37.5
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC ",917897,5135,616781,9054,458629,9079,301116,7869,59979,1223,71299,1074,86561,1108,37491,2108,82776,1610,96150,1841,112973,2364,52119,3212,33.6
310M300US16820,16820,"Charlottesville, VA ",87091,2503,52226,2637,39385,2636,34865,2758,62523,3294,79655,6962,97108,4883,40308,4198,85476,4461,103295,5811,N,N,56221,6674,39.9
310M300US16860,16860,"Chattanooga, TN-GA ",210802,3471,129117,4240,101343,3961,81685,4180,46537,1724,65955,2123,75134,2888,27629,2222,68041,2628,85085,3982,95370,4775,39605,3122,34
310M300US16940,16940,"Cheyenne, WY ",38181,1341,25470,1940,N,N,12711,1514,62221,5272,72136,4142,83219,9590,34029,8736,73885,4264,85577,4818,N,N,45713,5996,33.6
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI ",3491635,10747,2260239,15018,1635457,14536,1231396,14150,66020,578,82221,722,100035,813,40278,531,91509,784,108505,1079,127615,1327,57129,950,35.7
310M300US17020,17020,"Chico, CA ",85531,2090,50528,2630,36380,2409,35003,2666,45177,3768,62593,5295,78487,6841,27363,4466,65703,4086,82166,5666,N,N,40450,4505,34.1
310M300US17060,17060,"Chillicothe, OH ",28710,1156,19798,1465,N,N,8912,1208,46422,5613,61981,4493,68971,5164,26337,5510,62408,5656,73747,7419,N,N,34298,5435,25.5
310M300US17140,17140,"Cincinnati, OH-KY-IN ",841382,5082,549995,6069,403593,6577,291387,6238,60260,1049,76050,1475,91694,1436,34466,1452,81041,1241,97179,1804,114316,2223,47671,1605,35.7
